brand,name,processor,Ram,Ram_type,Storage,Storage_type,GPU,display_size,resolution_width,resolution_height,OS,Price
Asus,Vivobook 16X 2022 M1603QA-MB711WS Laptop,5th Gen AMD Ryzen 7  5800H,16,DDR4,512,SSD,AMD Radeon Vega 7,16,1920,1200,Windows 11 OS,10526120
HP,15s-eq2132AU Laptop,5th Gen AMD Ryzen 5 5500U,16,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,8270120
HP,255 G9 840T7PA Laptop,3rd Gen AMD Athlon 3050U,4,DDR4,256,SSD,Integrated AMD Graphics,15.6,1366,768,DOS OS,3731800
Acer,Extensa 15 EX215-33 2023 Laptop,Intel Core i3 N305,8,LPDDR5,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,5450120
Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,12th Gen Intel Core i5 1240P,16,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10339812
Dell,Inspiron 3530 Laptop,13th Gen Intel Core i7 1355U,16,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,13346120
Lenovo,IdeaPad Gaming 3 82SB00V2IN Laptop,6th Gen AMD Ryzen 5 6600H,8,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,10695132
Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,13th Gen Intel Core i9 13900HX,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4070,16,1920,1200,Windows 11 OS,33817440
HP,Victus 15-fb0150AX Gaming Laptop,5th Gen AMD Ryzen 5 5600H,16,DDR4,512,SSD,AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,10112520
Acer,Aspire Lite AL15 Laptop,5th Gen AMD Ryzen 5 5500U,16,DDR4,512,SSD,Integrated AMD Graphics,15.6,1920,1080,Windows 11 OS,7142120
Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,12th Gen Intel Core i7 12650H,16,DDR4,1024,SSD,NVIDIA GeForce RTX 3070Ti,15.6,2560,1440,Windows 11 OS,18234120
HP,Pavilion 15-eg3081TU Laptop,13th Gen Intel Core i5 1340P,16,DDR4,512,SSD,Integrated Intel Graphics,15.6,1920,1080,Windows 11 OS,13534120
HP,Victus 16-d0333TX Gaming Laptop,11th Gen Intel Core i5 11400H ,16,DDR4,512,SSD,NVIDIA GeForce GTX 1650,16.1,1920,1080,Windows 11 OS,11278120
Lenovo,IdeaPad Slim 5 14IAH8 83BF0045IN Laptop,12th Gen Intel Core i5 12450H,16,LPDDR5,1024,SSD,Integrated Intel Graphics,14,1920,1200,Windows 11 OS,11842120
Infinix,INBook X3 Slim XL422 2023 Laptop,12th Gen Intel Core i3 1215U,8,LPDDR4X,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,5826120
Lenovo,LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,14098120
HP,15s-fr2515TU Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,6860120
Dell,G15-5520 2023 Laptop,12th Gen Intel Core i5 12500H,16,DDR5,1024,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,14662120
Samsung,Galaxy Book2 NP550XED-KA2IN Laptop,12th Gen Intel Core i5 1235U ,16,LPDDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,10338120
Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,12th Gen Intel Core i3 1215U,8,DDR4,256,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7743720
Asus,ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,13th Gen Intel Core i5 13450HX,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,16,1920,1200,Windows 11 OS,16918120
Lenovo,Legion 9i 2023 Laptop,13th Gen Intel Core i9 13980HX,32,DDR5,1024,SSD,NVIDIA GeForce RTX 4090,16,3200,2000,Windows 11 OS,75199812
Wings,Nuvobook V1 Laptop,11th Gen Intel Core i5 1135G7,8,DDR4,512,SSD,Integrated Intel Graphics,15.6,1080,1920,Windows 11 OS,6014120
Dell,Inspiron 3525 Laptop,5th Gen AMD Ryzen 3 5300U,8,DDR4,512,SSD,AMD Radeon Radeon Graphics,15.6,1920,1080,Windows 11 OS,5920120
HP,Victus 15-fa0555TX Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,13270920
Asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,12th Gen Intel Core i7 12700H,16,DDR4,512,SSD,NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,19738120
Lenovo,V15 82QYA00MIN Laptop,Intel Celeron  N4020,8,DDR4,256,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,4510120
HP,255 G9 7B1L8PA Laptop,5th Gen AMD Ryzen 5 5625U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1366,768,Windows 11 OS,7143812
Honor,MagicBook X14 2023 ‎FRI-F56 Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1200,Windows 11 OS,9962120
Lenovo,V15 82KDA01BIH Laptop,5th Gen AMD Ryzen 3 5300U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,5799612
HP,Victus 15-fa0070TX Laptop,12th Gen Intel Core i5 12450H,8,DDR4,512,SSD,NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,11090120
Zebronics,ZEB-NBC 2S Laptop,11th Gen Intel Core i5 1155G7,16,LPDDR4X,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,6578120
Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,7th Gen AMD Ryzen 7 7730U,16,DDR4,512,SSD,AMD Radeon Graphics,16,1920,1080,Windows 11 OS,9398120
HP,15S-FQ5202TU Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,9734640
Asus,TUF Gaming F15 FX506HE-HN382W Gaming Laptop,11th Gen Intel Core i7 11800H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050Ti,15.6,1920,1080,Windows 11 OS,12970120
Asus,TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,12th Gen Intel Core i7 12700H ,16,DDR5,1024,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,16166120
Lenovo,LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop,13th Gen Intel Core i7 13620H,16,DDR5,512,SSD,NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,18234120
Lenovo,Legion Y9000X 2023 Laptop,13th Gen Intel Core i9 13900H,32,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,3200,2000,Windows 11 OS,28010120
Asus,TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,12th Gen Intel Core i5 12500H,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,17.3,1920,1080,Windows 11 OS,13722120
Dell,Inspiron 5430 Laptop,13th Gen Intel Core i7 1360P,16,LPDDR5,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,15884120
Asus,Vivobook 15 X1502ZA-EJ741WS Laptop,12th Gen Intel Core i7 12650H,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,11466120
Infinix,INBook X2 Slim Series XL23 Laptop,11th Gen Intel Core i5 1155G7,16,LPDDR4X,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,6390120
Asus,VivoBook 14 X415EA-EK344WS Notebook,11th Gen Intel Core i3 1115G4,16,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,6766120
Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,11466120
Xiaomi,Redmi Book 14 2023 Laptop,12th Gen Intel Core i5 12500H,16,DDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,2880,1800,Windows 11 OS,8270120
Asus,Vivobook 16X 2023 K3605ZF-MB541WS Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 2050,16,1920,1200,Windows 11 OS,11842120
MSI,GF63 Thin 11UC-1294IN Gaming Laptop,11th Gen Intel Core i7 11800H,16,DDR4,1024,HDD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,12406120
Infinix,INBook Y1 Plus Neo XL30 Laptop,11th Gen Intel Celeron N5100,8,LPDDR4X,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,4510120
Asus,TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,11th Gen Intel Core i5 11400H ,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,11654120
Dell,Inspiron 3525 Laptop,5th Gen AMD Ryzen 3 5425U,8,DDR4,512,SSD,AMD Radeon Radeon Graphics,15.6,1920,1080,Windows 11 OS,6954120
Asus,Vivobook 16X 2022 M1603QA-MB511WS Laptop,5th Gen AMD Ryzen 5 5600H,16,DDR4,512,SSD,AMD Radeon Vega 7 Graphics,16,1920,1200,Windows 11 OS,9582360
Dell,Precision 5550 Laptop,10th Gen Intel Core i7 10750H,16,DDR4,512,SSD,NVIDIA Quadro T1000,15.6,1920,1200,Windows 10 OS,34779812
HP,Omen 16-XD0007ax Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4050,16.1,1920,1080,Windows 11 OS,20678120
Zebronics,Pro Series Z ZEB-NBC 4S Laptop,12th Gen Intel Core i5 1235U,16,DDR4,512,SSD,Integrated Intel Graphics,15.6,1920,1080,Windows 11 OS,8082120
HP,15s-fq5185TU Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7360200
Acer,Swift Go NXKPZSI002 Laptop,13th Gen Intel Core i5 13500H,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,2880,1800,Windows 11 OS,17483812
HP,Victus 16-s0095AX Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,16.1,1920,1080,Windows 11 OS,15226120
HP,Victus 15-FB1001AX Gaming Laptop,7th Gen AMD Ryzen 5 7535HS,8,DDR5,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10499800
Acer,Aspire Lite AL15-51 UN.431SI.288 Laptop,11th Gen Intel Core i5 1135G7,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,7330120
MSI,Thin GF63 11UCX-1492IN Gaming Laptop,11th Gen Intel Core i5 11260H,16,DDR4,1024,HDD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10150120
Infinix,INBook X3 Slim XL422 Laptop,12th Gen Intel Core i5 1235U,16,LPDDR4X,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,7330120
HP,Omen 16-xf0060AX Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,1920,1080,Windows 11 OS,26175992
MSI,Thin GF63 11UC-1490IN Gaming Laptop,11th Gen Intel Core i5 11260H,16,DDR4,1024,HDD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,10902120
Lenovo,LOQ 2023 Gaming Laptop,13th Gen Intel Core i5 13420H,8,DDR5,512,SSD,NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,16919812
Acer,One 14 Z8-415 ‎2023 Laptop,11th Gen Intel Core i5  1135G7,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,7142120
Asus,VivoBook 14 X415EA-EK326WS Notebook,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,5826120
Dell,G15-5530 GN5530D83M6002ORB1 Gaming Laptop,13th Gen Intel Core i5 13450HX,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,17482120
HP,15s-fr5009TU Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,8082120
Asus,TUF Gaming F15 FX506HF-HN025W Gaming Laptop,11th Gen Intel Core i5 11400H ,16,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,11108732
HP,Victus 15-fa0998TX Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,13723812
HP,Omen 16-n0123AX Gaming Laptop,6th Gen AMD Ryzen 7  6800H,16,DDR5,1024,SSD,NVIDIA GeForce RTX 3070Ti,16.1,2560,1440,Windows 11 OS,23827496
Apple,MacBook Air 15 2023 Laptop,Apple M2,8,DDR4,256,SSD,10-Core GPU,15.3,2880,1864,Mac OS,23874120
Samsung,Galaxy Book2 NP550XED-KA1IN 15 Laptop,12th Gen Intel Core i5 1235U,8,LPDDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,9398120
Dell,Inspiron 5420 Laptop,12th Gen Intel Core i5 1240P,16,DDR5,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,13985320
Dell,Inspiron 3520 D560871WIN9B Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,9962120
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,11th Gen Intel Core i5 11300H,8,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,11466120
HP,Omen 16-n0079AX Gaming Laptop,6th Gen AMD Ryzen 7  6800H,16,DDR5,512,SSD,AMD Radeon RX 6650M,16.1,1920,1080,Windows 11 OS,18456712
Lenovo,E41-55 Laptop,AMD Athlon Pro 3045B,8,DDR4,256,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,3570120
Asus,VivoBook 15 X515EA-EJ522WS Laptop,11th Gen Intel Core i5 1135G7,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,7330120
HP,14s-fq1092au Laptop,5th Gen AMD Ryzen 5  5500U,8,DDR4,512,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,7886600
Xiaomi,Mi Notebook Ultra Laptop,11th Gen Intel Core i5 11300H ,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,3200,2000,Windows 10 OS,8834120
iBall,Excelance CompBook Laptop,Intel Atom Quad Core Z3735F,2,DDR3,32,HDD,Intel HD Graphics,11.6,1366,768,Windows 10 OS,1879812
Asus,Vivobook 15 X1502ZA-EJ385WS Laptop,12th Gen Intel Core i3 1220P,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7706120
Lenovo,IdeaPad Gaming 3 82SB00V5IN Laptop,6th Gen AMD Ryzen 7 6800H,8,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,14098120
Zebronics,ZEB-NBC 3S 2023 Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel Graphics,15.6,1920,1080,Windows 11 OS,6390120
Zebronics,Pro Series Z ZEB-NBC 4S 2023 Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel Graphics,15.6,1920,1080,Windows 11 OS,7518120
Asus,CX1101CMA-GJ0004 Chromebook,Intel Celeron  N4020,4,LPDDR4,32,HDD,Integrated Intel UHD Graphics 600,11.6,1366,768,Chrome OS,2066120
MSI,Katana 15 B13UDXK-1482IN Gaming Laptop,13th Gen Intel Core i5 13500H,32,DDR5,1024,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,16730120
HP,15s-fy5007TU Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,10338120
Lenovo,ThinkBook 15 G5 21JFA00BIN Laptop,7th Gen AMD Ryzen 7 7730U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,9398120
Asus,Vivobook 16 2023 X1605VA-MB947WS Laptop,13th Gen Intel Core i9 13900H,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,16,1920,1200,Windows 11 OS,15178932
Lenovo,Thinkpad E15 G4 21DJA0Y0IN Laptop,12th Gen Intel Core i7 1255U,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,11842120
HP,Victus 15-fa1132TX Laptop,12th Gen Intel Core i5 12450H,8,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,11842120
HP,Victus 15-fb1017AX Gaming Laptop,7th Gen AMD Ryzen 5 7535HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,13066188
Lenovo,IdeaPad Slim 5 14IAH8 83BF000UIN Laptop,12th Gen Intel Core i5 12450H,16,LPDDR5,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,11278120
HP,Victus 15-fb1015AX Gaming Laptop,7th Gen AMD Ryzen 5 7535HS,8,DDR5,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10338120
Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR5,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,12218120
MSI,Modern 15 B12M-612IN Laptop,12th Gen Intel Core i3 1215U,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,7093052
Lenovo,IdeaPad Gaming 3 82K2025MIN Laptop,5th Gen AMD Ryzen 5  5600H,16,DDR4,512,SSD,NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,9533856
MSI,Modern 14 C11M-029IN Laptop,11th Gen Intel Core i5 1155G7,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,8458120
Chuwi,CoreBook X Laptop,10th Gen Intel Core i3 1005G1,8,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1200,Windows 11 OS,4510120
HP,15s-ey2001AU Laptop,5th Gen AMD Ryzen 7   5700U,16,DDR4,512,SSD,AMD Radeon Radeon,15.6,1920,1080,Windows 11 OS,9398120
HP,Pavilion 15-eg3079TU Laptop,13th Gen Intel Core i5 1340p,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,13722120
Lenovo,IdeaPad Slim 3 82H803B6IN Laptop,11th Gen Intel Core i7 1165G7,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,9794988
Infinix,INBook X2 Slim Series Laptop,11th Gen Intel Core i3  1115G4,8,LPDDR4X,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,5450120
HP,Pavilion 15s-fq5190TU Laptop,12th Gen Intel Core i7 1255U,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,13064120
Acer,Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop,13th Gen Intel Core i3 1315U,8,LPDDR5,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7513420
Acer,Aspire 5 14 A514-56GM 2023 Gaming Laptop,13th Gen Intel Core i5 1335U,16,DDR4,512,SSD,NVIDIA GeForce RTX 2050,14,1920,1080,Windows 11 OS,10338120
Asus,Vivobook 15 X1502ZA-EJ532WS Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,8835812
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,13th Gen Intel Core i5 13500H,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,15.6,2880,1620,Windows 11 OS,15790120
HP,Victus 15-fb0108AX Gaming Laptop,5th Gen AMD Ryzen 5  5600H ,8,DDR4,512,SSD,AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,9681812
Dell,Vostro 3425 M552321WIN9S Laptop,5th Gen AMD Ryzen 5 5625U,16,DDR4,512,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,9586120
HP,Chromebook 15a-na0012TU Laptop,Intel Celeron  N4500,4,LPDDR4x,128,HDD,Integrated Intel UHD Graphics,15.6,1366,768,Chrome OS,4510120
Acer,Aspire 3 A315-24P NX.KDESI.003 Laptop,7th Gen AMD Ryzen 3 7320U,8,LPDDR5,512,SSD,AMD Radeon Graphiics,15.6,1920,1080,Windows 11 OS,5262120
HP,Pavilion x360 14-ek1010TU Laptop,13th Gen Intel Core i5 1335U,16,DDR4,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,15038120
Samsung,Galaxy Book 3 NP750XFG-KA3IN Laptop,13th Gen Intel Core i7 1355U,16,LPDDR4x,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,15865320
Infinix,INBook Y1 Plus Laptop,10th Gen Intel Core i3 1005G1,8,LPDDR4X,256,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,4698120
Samsung,Galaxy Book 3 Ultra NP960XFH-XA1IN Laptop,13th Gen Intel Core i9 13900H,32,LPDDR5,1024,SSD,NVIDIA GeForce RTX 4070,16,2880,1800,Windows 11 OS,53014120
Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,AMD Athlon 7120U,8,LPDDR5,512,SSD,AMD Radeon 610M Graphics,15.6,1366,768,Windows 11 OS,4998920
Infinix,INBook X2 Slim Series XL23 2023 Laptop,11th Gen Intel Core i5 1155G7,16,LPDDR4X,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,7142120
Asus,Vivobook Pro 15 M6500RC-HN741WS Laptop,6th Gen AMD Ryzen 7 6800H,16,LPDDR5,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,13383532
